faculty_id,name,program_code,appointment,fte,effort,base_salary,benefits,total_compensation,attributed_cost
BUSN-07,Business Administration Faculty 7,BUSN,Full-time,1.0,1.0,92250.0,35875.0,128125.0,128125.0
BUSN-08,Business Administration Faculty 8,BUSN,Full-time,1.0,1.0,92250.0,35875.0,128125.0,128125.0
BUSN-09,Business Administration Faculty 9,BUSN,Full-time,1.0,1.0,92250.0,35875.0,128125.0,128125.0
BUSN-10,Business Administration Faculty 10,BUSN,Adjunct,0.5,1.0,55350.0,21525.0,76875.0,76875.0
BUSN-11,Business Administration Faculty 11,BUSN,Full-time,1.0,1.0,92250.0,35875.0,128125.0,128125.0
BUSN-12,Business Administration Faculty 12,BUSN,Full-time,1.0,1.0,92250.0,35875.0,128125.0,128125.0
BUSN-13,Business Administration Faculty 13,BUSN,Full-time,1.0,1.0,92250.0,35875.0,128125.0,128125.0
BUSN-14,Business Administration Faculty 14,BUSN,Full-time,1.0,1.0,92250.0,35875.0,128125.0,128125.0
BUSN-15,Business Administration Faculty 15,BUSN,Adjunct,0.5,1.0,55350.0,21525.0,76875.0,76875.0
BUSN-16,Business Administration Faculty 16,BUSN,Full-time,1.0,1.0,92250.0,35875.0,128125.0,128125.0
PSYC-01,Psychology Faculty 1,PSYC,Full-time,1.0,1.0,79200.0,30800.0,110000.0,110000.0
PSYC-02,Psychology Faculty 2,PSYC,Full-time,1.0,1.0,79200.0,30800.0,110000.0,110000.0
PSYC-03,Psychology Faculty 3,PSYC,Full-time,1.0,1.0,79200.0,30800.0,110000.0,110000.0
PSYC-04,Psychology Faculty 4,PSYC,Full-time,1.0,1.0,79200.0,30800.0,110000.0,110000.0
PSYC-05,Psychology Faculty 5,PSYC,Adjunct,0.5,1.0,47520.0,18480.0,66000.0,66000.0
PSYC-06,Psychology Faculty 6,PSYC,Full-time,1.0,1.0,79200.0,30800.0,110000.0,110000.0
PSYC-07,Psychology Faculty 7,PSYC,Full-time,1.0,1.0,79200.0,30800.0,110000.0,110000.0
PSYC-08,Psychology Faculty 8,PSYC,Full-time,1.0,1.0,79200.0,30800.0,110000.0,110000.0
PSYC-09,Psychology Faculty 9,PSYC,Full-time,1.0,1.0,79200.0,30800.0,110000.0,110000.0
PSYC-10,Psychology Faculty 10,PSYC,Adjunct,0.5,1.0,47520.0,18480.0,66000.0,66000.0
PSYC-11,Psychology Faculty 11,PSYC,Full-time,1.0,1.0,79200.0,30800.0,110000.0,110000.0
PSYC-12,Psychology Faculty 12,PSYC,Full-time,1.0,1.0,79200.0,30800.0,110000.0,110000.0
ENGL-01,English Faculty 1,ENGL,Full-time,1.0,1.0,77236.36,30036.36,107272.72,107272.72
ENGL-02,English Faculty 2,ENGL,Full-time,1.0,1.0,77236.36,30036.36,107272.72,107272.72
ENGL-03,English Faculty 3,ENGL,Full-time,1.0,1.0,77236.36,30036.36,107272.72,107272.72
ENGL-04,English Faculty 4,ENGL,Full-time,1.0,1.0,77236.36,30036.36,107272.72,107272.72
ENGL-05,English Faculty 5,ENGL,Adjunct,0.5,1.0,46341.82,18021.82,64363.64,64363.64
ENGL-06,English Faculty 6,ENGL,Full-time,1.0,1.0,77236.36,30036.36,107272.72,107272.72
ENGL-07,English Faculty 7,ENGL,Full-time,1.0,1.0,77236.36,30036.36,107272.72,107272.72
ENGL-08,English Faculty 8,ENGL,Full-time,1.0,1.0,77236.36,30036.36,107272.72,107272.72
ENGL-09,English Faculty 9,ENGL,Full-time,1.0,1.0,77236.36,30036.36,107272.72,107272.72
ENGL-10,English Faculty 10,ENGL,Adjunct,0.5,1.0,46341.82,18021.82,64363.64,64363.64
ENGL-11,English Faculty 11,ENGL,Full-time,1.0,1.0,77236.36,30036.36,107272.72,107272.72
EDUC-01,Education Faculty 1,EDUC,Full-time,1.0,1.0,89280.0,34720.0,124000.0,124000.0
EDUC-02,Education Faculty 2,EDUC,Full-time,1.0,1.0,89280.0,34720.0,124000.0,124000.0
EDUC-03,Education Faculty 3,EDUC,Full-time,1.0,1.0,89280.0,34720.0,124000.0,124000.0
EDUC-04,Education Faculty 4,EDUC,Full-time,1.0,1.0,89280.0,34720.0,124000.0,124000.0
EDUC-05,Education Faculty 5,EDUC,Adjunct,0.5,1.0,53568.0,20832.0,74400.0,74400.0
EDUC-06,Education Faculty 6,EDUC,Full-time,1.0,1.0,89280.0,34720.0,124000.0,124000.0
EDUC-07,Education Faculty 7,EDUC,Full-time,1.0,1.0,89280.0,34720.0,124000.0,124000.0
EDUC-08,Education Faculty 8,EDUC,Full-time,1.0,1.0,89280.0,34720.0,124000.0,124000.0
EDUC-09,Education Faculty 9,EDUC,Full-time,1.0,1.0,89280.0,34720.0,124000.0,124000.0
EDUC-10,Education Faculty 10,EDUC,Adjunct,0.5,1.0,53568.0,20832.0,74400.0,74400.0
ENGR-01,Engineering Faculty 1,ENGR,Full-time,1.0,1.0,112114.29,43600.0,155714.29,155714.29
ENGR-02,Engineering Faculty 2,ENGR,Full-time,1.0,1.0,112114.29,43600.0,155714.29,155714.29
ENGR-03,Engineering Faculty 3,ENGR,Full-time,1.0,1.0,112114.29,43600.0,155714.29,155714.29
ENGR-04,Engineering Faculty 4,ENGR,Full-time,1.0,1.0,112114.29,43600.0,155714.29,155714.29
ENGR-05,Engineering Faculty 5,ENGR,Adjunct,0.5,1.0,67268.57,26160.0,93428.57,93428.57
ENGR-06,Engineering Faculty 6,ENGR,Full-time,1.0,1.0,112114.29,43600.0,155714.29,155714.29
ENGR-07,Engineering Faculty 7,ENGR,Full-time,1.0,1.0,112114.29,43600.0,155714.29,155714.29
ENGR-08,Engineering Faculty 8,ENGR,Full-time,1.0,1.0,112114.29,43600.0,155714.29,155714.29
ENGR-09,Engineering Faculty 9,ENGR,Full-time,1.0,1.0,112114.29,43600.0,155714.29,155714.29
ENGR-10,Engineering Faculty 10,ENGR,Adjunct,0.5,1.0,67268.57,26160.0,93428.57,93428.57
ENGR-11,Engineering Faculty 11,ENGR,Full-time,1.0,1.0,112114.29,43600.0,155714.29,155714.29
ENGR-12,Engineering Faculty 12,ENGR,Full-time,1.0,1.0,112114.29,43600.0,155714.29,155714.29
ENGR-13,Engineering Faculty 13,ENGR,Full-time,1.0,1.0,112114.29,43600.0,155714.29,155714.29
ENGR-14,Engineering Faculty 14,ENGR,Full-time,1.0,1.0,112114.29,43600.0,155714.29,155714.29
MUSI-01,Music Faculty 1,MUSI,Full-time,1.0,1.0,79200.0,30800.0,110000.0,110000.0
MUSI-02,Music Faculty 2,MUSI,Full-time,1.0,1.0,79200.0,30800.0,110000.0,110000.0
MUSI-03,Music Faculty 3,MUSI,Full-time,1.0,1.0,79200.0,30800.0,110000.0,110000.0
MUSI-04,Music Faculty 4,MUSI,Full-time,1.0,1.0,79200.0,30800.0,110000.0,110000.0
MUSI-05,Music Faculty 5,MUSI,Adjunct,0.5,1.0,47520.0,18480.0,66000.0,66000.0
MUSI-06,Music Faculty 6,MUSI,Full-time,1.0,1.0,79200.0,30800.0,110000.0,110000.0
MUSI-07,Music Faculty 7,MUSI,Full-time,1.0,1.0,79200.0,30800.0,110000.0,110000.0
MUSI-08,Music Faculty 8,MUSI,Full-time,1.0,1.0,79200.0,30800.0,110000.0,110000.0
MUSI-09,Music Faculty 9,MUSI,Full-time,1.0,1.0,79200.0,30800.0,110000.0,110000.0
MUSI-10,Music Faculty 10,MUSI,Adjunct,0.5,1.0,47520.0,18480.0,66000.0,66000.0
MUSI-11,Music Faculty 11,MUSI,Full-time,1.0,1.0,79200.0,30800.0,110000.0,110000.0
MUSI-12,Music Faculty 12,MUSI,Full-time,1.0,1.0,79200.0,30800.0,110000.0,110000.0
HIST-01,History Faculty 1,HIST,Full-time,1.0,1.0,68400.0,26600.0,95000.0,95000.0
HIST-02,History Faculty 2,HIST,Full-time,1.0,1.0,68400.0,26600.0,95000.0,95000.0
HIST-03,History Faculty 3,HIST,Full-time,1.0,1.0,68400.0,26600.0,95000.0,95000.0
HIST-04,History Faculty 4,HIST,Full-time,1.0,1.0,68400.0,26600.0,95000.0,95000.0
HIST-05,History Faculty 5,HIST,Adjunct,0.5,1.0,41040.0,15960.0,57000.0,57000.0
HIST-06,History Faculty 6,HIST,Full-time,1.0,1.0,68400.0,26600.0,95000.0,95000.0
HIST-07,History Faculty 7,HIST,Full-time,1.0,1.0,68400.0,26600.0,95000.0,95000.0
HIST-08,History Faculty 8,HIST,Full-time,1.0,1.0,68400.0,26600.0,95000.0,95000.0
CHEM-01,Chemistry Faculty 1,CHEM,Full-time,1.0,1.0,89280.0,34720.0,124000.0,124000.0
CHEM-02,Chemistry Faculty 2,CHEM,Full-time,1.0,1.0,89280.0,34720.0,124000.0,124000.0
CHEM-03,Chemistry Faculty 3,CHEM,Full-time,1.0,1.0,89280.0,34720.0,124000.0,124000.0
CHEM-04,Chemistry Faculty 4,CHEM,Full-time,1.0,1.0,89280.0,34720.0,124000.0,124000.0
CHEM-05,Chemistry Faculty 5,CHEM,Adjunct,0.5,1.0,53568.0,20832.0,74400.0,74400.0
CHEM-06,Chemistry Faculty 6,CHEM,Full-time,1.0,1.0,89280.0,34720.0,124000.0,124000.0
CHEM-07,Chemistry Faculty 7,CHEM,Full-time,1.0,1.0,89280.0,34720.0,124000.0,124000.0
CHEM-08,Chemistry Faculty 8,CHEM,Full-time,1.0,1.0,89280.0,34720.0,124000.0,124000.0
CHEM-09,Chemistry Faculty 9,CHEM,Full-time,1.0,1.0,89280.0,34720.0,124000.0,124000.0
CHEM-10,Chemistry Faculty 10,CHEM,Adjunct,0.5,1.0,53568.0,20832.0,74400.0,74400.0
MATH-01,Mathematics Faculty 1,MATH,Full-time,1.0,1.0,78400.0,30488.89,108888.89,108888.89
MATH-02,Mathematics Faculty 2,MATH,Full-time,1.0,1.0,78400.0,30488.89,108888.89,108888.89
MATH-03,Mathematics Faculty 3,MATH,Full-time,1.0,1.0,78400.0,30488.89,108888.89,108888.89
MATH-04,Mathematics Faculty 4,MATH,Full-time,1.0,1.0,78400.0,30488.89,108888.89,108888.89
MATH-05,Mathematics Faculty 5,MATH,Adjunct,0.5,1.0,47040.0,18293.33,65333.33,65333.33
MATH-06,Mathematics Faculty 6,MATH,Full-time,1.0,1.0,78400.0,30488.89,108888.89,108888.89
MATH-07,Mathematics Faculty 7,MATH,Full-time,1.0,1.0,78400.0,30488.89,108888.89,108888.89
MATH-08,Mathematics Faculty 8,MATH,Full-time,1.0,1.0,78400.0,30488.89,108888.89,108888.89
MATH-09,Mathematics Faculty 9,MATH,Full-time,1.0,1.0,78400.0,30488.89,108888.89,108888.89
MBA-01,Master of Business Administration Faculty 1,MBA,Full-time,1.0,1.0,115200.0,44800.0,160000.0,160000.0
MBA-02,Master of Business Administration Faculty 2,MBA,Full-time,1.0,1.0,115200.0,44800.0,160000.0,160000.0
MBA-03,Master of Business Administration Faculty 3,MBA,Full-time,1.0,1.0,115200.0,44800.0,160000.0,160000.0
MBA-04,Master of Business Administration Faculty 4,MBA,Full-time,1.0,1.0,115200.0,44800.0,160000.0,160000.0
MBA-05,Master of Business Administration Faculty 5,MBA,Adjunct,0.5,1.0,69120.0,26880.0,96000.0,96000.0
MBA-06,Master of Business Administration Faculty 6,MBA,Full-time,1.0,1.0,115200.0,44800.0,160000.0,160000.0
MBA-07,Master of Business Administration Faculty 7,MBA,Full-time,1.0,1.0,115200.0,44800.0,160000.0,160000.0
MSN-01,Master of Science in Nursing Faculty 1,MSN,Full-time,1.0,1.0,117600.0,45733.33,163333.33,163333.33
MSN-02,Master of Science in Nursing Faculty 2,MSN,Full-time,1.0,1.0,117600.0,45733.33,163333.33,163333.33
MSN-03,Master of Science in Nursing Faculty 3,MSN,Full-time,1.0,1.0,117600.0,45733.33,163333.33,163333.33
MSN-04,Master of Science in Nursing Faculty 4,MSN,Full-time,1.0,1.0,117600.0,45733.33,163333.33,163333.33
MSN-05,Master of Science in Nursing Faculty 5,MSN,Adjunct,0.5,1.0,70560.0,27440.0,98000.0,98000.0
MSN-06,Master of Science in Nursing Faculty 6,MSN,Full-time,1.0,1.0,117600.0,45733.33,163333.33,163333.33
